word,stars,level,alt_spelling,derived
rope,**,중고공통,,
rose,*,초등,,
rot,,선택,,
rough,**,중고공통,,
round,**,중고공통,,
route,**,중고공통,,
routine,,선택,,
row,**,중고공통,,
royal,**,중고공통,,
rub,**,중고공통,,rubber
rude,**,중고공통,,
ruin,**,중고공통,,
rule,**,중고공통,,
rumor,,선택,rumour,
run,*,초등,,
rural,,선택,,
rush,**,중고공통,,
sack,,선택,,
sacred,,선택,,
sacrifice,,선택,,
sad,*,초등,,
safe,*,초등,,
sail,**,중고공통,,
salad,*,초등,,
salary,**,중고공통,,
sale,*,초등,,
salt,*,초등,,
same,*,초등,,
sample,**,중고공통,,
sand,*,초등,,
sandwich,*,초등,,
satellite,,선택,,
satisfy,**,중고공통,,
sauce,**,중고공통,,
save,*,초등,,
say,*,초등,,
scale,**,중고공통,,
scan,,선택,,
scandal,,선택,,
scarce,,선택,,
scare,**,중고공통,,
scarf,**,중고공통,,
scatter,,선택,,
scene,**,중고공통,,
schedule,**,중고공통,,
scheme,,선택,,
scholar,,선택,,
school,*,초등,,
science,*,초등,,
scissors,*,초등,,
scope,,선택,,
score,*,초등,,
scramble,,선택,,
scratch,**,중고공통,,
scream,**,중고공통,,
screen,**,중고공통,,
screw,,선택,,
sculpt,,선택,,sculpture
sea,*,초등,,
seal,**,중고공통,,
search,**,중고공통,,
season,*,초등,,
seat,**,중고공통,,
second,*,초등,,secondary
secret,**,중고공통,,
secretary,**,중고공통,,
section,**,중고공통,,
sector,,선택,,
secure,**,중고공통,,
see,*,초등,,
seed,**,중고공통,,
seek,**,중고공통,,
seem,**,중고공통,,
seize,,선택,,
select,**,중고공통,,
self,**,중고공통,,
sell,*,초등,,
send,*,초등,,
senior,**,중고공통,,
sense,**,중고공통,,sensation
sensible,,선택,,
sentence,**,중고공통,,
sentiment,,선택,,
separate,**,중고공통,,
sequence,,선택,,
series,**,중고공통,,
serious,**,중고공통,,
serve,**,중고공통,,
service,*,초등,,
session,**,중고공통,,
set,*,초등,,
settle,**,중고공통,,
seven,*,초등,,
several,**,중고공통,,
severe,,선택,,
sew,**,중고공통,,
sex,**,중고공통,,
shade,**,중고공통,,
shadow,**,중고공통,,
shake,**,중고공통,,
shall,**,중고공통,,
shallow,,선택,,
shame,**,중고공통,,
shape,**,중고공통,,
share,**,중고공통,,
sharp,**,중고공통,,
shave,**,중고공통,,
she,*,초등,,
sheep,**,중고공통,,
sheet,**,중고공통,,
shelf,**,중고공통,,
shell,**,중고공통,,
shelter,**,중고공통,,
shift,**,중고공통,,
shine,**,중고공통,,
ship,*,초등,,
shirt,*,초등,,
shock,**,중고공통,,
shoe,*,초등,,
shoot,**,중고공통,,
shop,*,초등,,
shore,**,중고공통,,
short,*,초등,,
should,*,초등,,
shoulder,**,중고공통,,
shout,**,중고공통,,
show,*,초등,,
shower,**,중고공통,,
shut,**,중고공통,,
shy,*,초등,,
sick,*,초등,,
side,*,초등,,
sigh,,선택,,
sight,**,중고공통,,
sign,**,중고공통,,significant
silent,,선택,,
silly,**,중고공통,,
silver,**,중고공통,,
similar,**,중고공통,,
simple,**,중고공통,,
simulate,,선택,,
simultaneous,,선택,,
sin,,선택,,
since,**,중고공통,,
sing,*,초등,,
single,**,중고공통,,
sink,**,중고공통,,
sister,*,초등,,
sit,*,초등,,
site,**,중고공통,,
situate,**,중고공통,,situation
six,*,초등,,
size,*,초등,,
skate,*,초등,,
ski,*,초등,,
skill,**,중고공통,,
skin,*,초등,,
skip,,선택,,
skirt,*,초등,,
sky,*,초등,,
slave,**,중고공통,,
sleep,*,초등,,
slice,,선택,,
slide,**,중고공통,,
slight,**,중고공통,,
slim,,선택,,
slip,**,중고공통,,
slope,,선택,,
slow,*,초등,,
small,*,초등,,
smart,**,중고공통,,
smash,**,중고공통,,
smell,*,초등,,
smile,*,초등,,
smoke,**,중고공통,,
smooth,**,중고공통,,
snack,**,중고공통,,
snake,**,중고공통,,
snap,**,중고공통,,
sneak,,선택,,
snow,*,초등,,
so,*,초등,,
soak,,선택,,
soap,,선택,,
soccer,*,초등,,
social,**,중고공통,,
society,**,중고공통,,
sociology,,선택,,
sock,*,초등,,
soft,*,초등,,
software,*,초등,,
soil,**,중고공통,,
soldier,**,중고공통,,
sole,,선택,,
solid,**,중고공통,,
solve,**,중고공통,,
some,*,초등,,
somewhat,**,중고공통,,
son,*,초등,,
song,*,초등,,
soon,**,중고공통,,
sophisticate,,선택,,
sore,**,중고공통,,
sorry,*,초등,,
sort,**,중고공통,,
soul,**,중고공통,,
sound,*,초등,,
soup,*,초등,,
sour,**,중고공통,,
source,**,중고공통,,
south,*,초등,,
space,*,초등,,
spaghetti,*,초등,,
span,,선택,,
spare,**,중고공통,,
spark,,선택,,
speak,*,초등,,
species,**,중고공통,,special
specific,**,중고공통,,
spectacle,,선택,,
spectrum,,선택,,
speech,**,중고공통,,
speed,*,초등,,
spell,**,중고공통,,
spend,**,중고공통,,
sphere,,선택,,
spill,,선택,,
spin,**,중고공통,,
spirit,**,중고공통,,
spit,,선택,,
splash,,선택,,
split,,선택,,
spoil,**,중고공통,,
sponsor,**,중고공통,,
spoon,*,초등,,
sport,*,초등,,
spot,**,중고공통,,
spouse,,선택,,
spray,**,중고공통,,
spread,**,중고공통,,
spring,*,초등,,
spy,**,중고공통,,
square,**,중고공통,,
squeeze,,선택,,
stable,**,중고공통,,
stack,,선택,,
staff,*,초등,,
stage,**,중고공통,,
stain,,선택,,
stairs,**,중고공통,,
stamp,**,중고공통,,
stand,*,초등,,
standard,**,중고공통,,
star,*,초등,,
stare,**,중고공통,,
start,*,초등,,
starve,,선택,,
state,**,중고공통,,
station,**,중고공통,,
statistic,,선택,,
statue,,선택,,
status,,선택,,
stay,*,초등,,
steady,**,중고공통,,
steak,*,초등,,
steal,**,중고공통,,
steam,**,중고공통,,
steel,**,중고공통,,
steep,,선택,,
stem,,선택,,
step,**,중고공통,,
stick,**,중고공통,,
stiff,,선택,,
still,**,중고공통,,
stimulate,,선택,,
stir,**,중고공통,,
stitch,,선택,,
stock,**,중고공통,,
stomach,**,중고공통,,
stone,*,초등,,
stop,*,초등,,
store,*,초등,,
storm,**,중고공통,,
story,*,초등,,
stove,,선택,,
straight,**,중고공통,,
strain,,선택,,
strange,**,중고공통,,
strategy,**,중고공통,,
strawberry,**,중고공통,,
stream,**,중고공통,,
street,*,초등,,
stress,**,중고공통,,
stretch,**,중고공통,,
strict,,선택,,
strike,**,중고공통,,
string,**,중고공통,,
strip,,선택,,
stripe,,선택,,
stroke,,선택,,
strong,*,초등,,
structure,**,중고공통,,
struggle,**,중고공통,,
studio,**,중고공통,,
study,*,초등,,student
stuff,**,중고공통,,
style,*,초등,,
subject,**,중고공통,,subjective
submarine,,선택,,
submit,,선택,,submission
subscribe,,선택,,
substance,,선택,,substantial
substitute,,선택,,
subtle,,선택,,
suburb,,선택,,
subway,*,초등,,
succeed,**,중고공통,,
success,**,중고공통,,
such,**,중고공통,,
suck,,선택,,
sudden,**,중고공통,,
suffer,**,중고공통,,
suffice,,선택,,sufficient
sugar,*,초등,,
suggest,**,중고공통,,
suicide,,선택,,
suit,**,중고공통,,
suite,,선택,,
sum,**,중고공통,,summary
summer,*,초등,,
summit,,선택,,
sun,*,초등,,
super,**,중고공통,,
superb,,선택,,
superior,,선택,,
supervise,,선택,,
supper,**,중고공통,,
supplement,,선택,,
supply,**,중고공통,,
support,**,중고공통,,
suppose,**,중고공통,,
sure,*,초등,,ensure
surface,**,중고공통,,
surgery,,선택,,
surprise,**,중고공통,,
surrender,,선택,,
surround,**,중고공통,,
survey,**,중고공통,,
survive,**,중고공통,,
suspect,**,중고공통,,
suspend,,선택,,
sustain,,선택,,
swallow,**,중고공통,,
swear,,선택,,
sweat,,선택,,
sweater,**,중고공통,,
sweep,**,중고공통,,
sweet,**,중고공통,,
swell,,선택,,
swift,,선택,,
swim,*,초등,,
swing,**,중고공통,,
switch,**,중고공통,,
symbol,,선택,,
sympathy,,선택,,
symphony,,선택,,
symptom,,선택,,
system,**,중고공통,,
table,*,초등,,
tackle,,선택,,
tag,,선택,,
tail,*,초등,,
take,*,초등,,mistake
tale,**,중고공통,,
talent,,선택,,
talk,*,초등,,
tall,*,초등,,
tank,**,중고공통,,
